333416-19-6	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
345260-82-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
341972-31-4	"Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons" As Hydrogen cyanide [74-90-8]
333416-16-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
333416-28-7	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
UN1560	"Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons" As Arsenous trichloride [7784-34-1]
159395-77-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
345260-86-8	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
55-86-7	"Schedule 1: Chemicals which can be used as chemical weapons" As Nitrogen mustards [RR-03644-2]
22925-97-9	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
959217-15-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
211192-74-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
UN1076	"Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons" As Phosgene [75-44-5]
NA9206	"Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons (listed under Chemicals, except for those listed in Schedule 1, containing a phosphorus atom to which is bonded one methyl, ethyl or propyl (normal or iso) group but not further carbon atoms)" As Methyl phosphonic dichloride [676-97-1]
333416-38-9	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
677-42-9	"Schedule 1: Chemicals which can be used as chemical weapons" As Alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonyldifluorides [RR-03645-3]
69020-37-7	"Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)" As Mustard gas [505-60-2]
959004-32-1	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
24753-16-0	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
345239-12-5	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
333416-22-1	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
1005284-61-6	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
468712-06-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
UN1810	"Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons" As Phosphorus oxychloride [10025-87-3]
53800-40-1	"Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (H or C<=10 including cycloalkyl) S-2-dialkyl (methyl, ethyl, n-propyl or isopropyl)-aminoethyl alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonothiolates and corresponding alkylated or protonated salts)" As VX [50782-69-9]
333416-34-5	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
333416-76-5	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
959010-20-9	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
211192-73-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
104801-10-7	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
13273-12-6	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
468712-02-9	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
